importer_iso3,exporter_iso3,good,hs_code,value_usd,weight_metric_tons
EEA,IND,Cottonseed (hybrid),120729,"1,251",0
EEA,PAK,Bricks,6904,"1,060",11
EEA,PAK,Bricks,690290,963,1
EEA,BLR,Lumber,4410,680,2
EEA,IND,Cottonseed (hybrid),120721,439,0
EEA,PER,Gold,711590,259,0
EEA,PAK,Carpets,5704,216,0
EEA,PAK,Bricks,681011,134,1
EEA,PAK,Bricks,6901,113,0
EEA,PAK,Wheat,1001,102,0
EEA,MMR,Sugarcane,121293,92,0
EEA,RUS,Bricks,6904,16,0
EEA,MMR,Bamboo,482361,1,0
