importer_iso3,exporter_iso3,good,hs_code,value_usd,weight_metric_tons,exporter_is_efta
BEL,CHN,Aluminum,7606,"45,271,897","11,090",False
BEL,CHN,Toys,9504,"38,123,176","5,505",False
BEL,CHN,Christmas Decorations,950510,"37,402,959","2,675",False
BEL,MMR,Garments,61,"35,826,080","1,174",False
BEL,CHN,Coal,2701,"32,103,391","80,911",False
BEL,MYS,Rubber Gloves,401519,"28,051,434","3,548",False
BEL,SLE,Diamonds,7102,"27,268,261",0,False
BEL,CHN,Artificial Flowers,6702,"26,960,412","2,436",False
BEL,IND,Thread/Yarn,5402,"25,745,588","9,932",False
BEL,PER,Gold,7108,"23,412,222",21,False
BEL,VNM,Garments,62,"22,331,186",727,False
BEL,VNM,Garments,61,"22,016,426",688,False
BEL,MYS,Garments,61,"19,753,815","1,892",False
BEL,CHN,Toys,950590,"11,117,037",973,False
BEL,IND,Rice,1006,"9,168,287","8,103",False
BEL,CHN,Hair Products,670420,"8,992,854",25,False
BEL,CHN,Bricks,690220,"8,862,876","4,177",False
BEL,THA,Garments,62,"8,460,928",307,False
BEL,CHN,Bricks,690210,"5,912,055","10,357",False
BEL,CHN,Nails,7317,"5,870,037","3,140",False
BEL,IND,Carpets,5702,"5,157,011",588,False
BEL,IND,Thread/Yarn,5205,"4,738,637","1,343",False
BEL,IND,Thread/Yarn,5510,"4,312,538","1,171",False
BEL,IND,Carpets,5703,"3,898,715",775,False
BEL,IND,Thread/Yarn,5509,"3,836,409","1,561",False
BEL,CHN,Polysilicon,280461,"3,821,395",16,False
BEL,CHN,Aluminum,7604,"3,804,386",685,False
BEL,IND,Sandstone,251620,"3,312,699","31,575",False
BEL,CHN,Fireworks,360410,"3,165,256","1,345",False
BEL,IND,Carpets,5701,"2,328,929",56,False
BEL,CHN,Metallurgical Grade Silicon,280469,"2,114,490",916,False
BEL,IND,Embellished Textiles,540792,"1,990,911",127,False
BEL,IND,Carpets,5705,"1,945,727",291,False
BEL,MUS,Garments,61,"1,705,583",23,False
BEL,BLR,Furniture,94,"1,672,292",302,False
BEL,CHN,Gloves,420329,"1,606,112",125,False
BEL,MYS,Garments,62,"1,595,168",89,False
BEL,CIV,Cocoa,180200,"1,507,087",620,False
BEL,IND,Thread/Yarn,5206,"1,476,788",510,False
BEL,NPL,Carpets,5701,"1,374,255",29,False
BEL,IDN,Nickel,7502,"1,106,873",66,False
BEL,CHN,Polyvinyl Chloride,390410,"968,916","1,477",False
BEL,IND,Thread/Yarn,5403,"916,659",111,False
BEL,CHN,Tomato Products,200290,"807,082",748,False
BEL,CHN,Tomato Products,210390,"787,006",166,False
BEL,CHN,Bricks,690290,"699,395",111,False
BEL,IND,Tea,210120,"631,509",58,False
BEL,CHN,Nails,761610,"532,978",33,False
BEL,IND,Tea,210690,"484,309",93,False
BEL,PAK,Carpets,5702,"448,242",43,False
BEL,IND,Bricks,690220,"442,832",279,False
BEL,CHN,Bricks,6904,"440,461",754,False
BEL,IND,Thread/Yarn,5406,"404,203",160,False
BEL,TKM,Cotton,5201,"399,398",474,False
BEL,CHN,Thread/Yarn,5509,"371,745",96,False
BEL,CHN,Christmas Decorations,853922,"368,194",15,False
BEL,CHN,Aluminum,7605,"363,434",68,False
BEL,NPL,Carpets,5702,"312,533",7,False
BEL,CHN,Squid,160554,"297,656",61,False
BEL,MMR,Rubies,710391,"286,979",0,False
BEL,IDN,Palm Fruit,120710,"242,251",1,False
BEL,COD,Gold,7108,"232,408",194,False
BEL,CHN,Thread/Yarn,5206,"219,659",43,False
BEL,IND,Bricks,690210,"218,718",136,False
BEL,PAK,Carpets,5701,"198,320",4,False
BEL,CHN,Thread/Yarn,5205,"191,886",28,False
BEL,CHN,Thread/Yarn,5401,"187,237",27,False
BEL,CHN,Thread/Yarn,5508,"160,148",24,False
BEL,BRA,Garments,61,"152,274",2,False
BEL,CHN,Thread/Yarn,5207,"117,628",9,False
BEL,PAK,Carpets,5703,"115,435",18,False
BEL,CHN,Thread/Yarn,5406,"115,304",6,False
BEL,IDN,Nickel,7501,"114,808",7,False
BEL,IND,Thread/Yarn,5511,"108,384",12,False
BEL,CHN,Thread/Yarn,5510,"104,553",18,False
BEL,IND,Bricks,690290,"100,197",187,False
BEL,CHN,Hair Products,670300,"79,456",1,False
BEL,KAZ,Cotton,5201,"79,351",61,False
BEL,MUS,Garments,62,"76,109",1,False
BEL,CHN,Thread/Yarn,5204,"45,928",5,False
BEL,BRA,Garments,62,"44,750",0,False
BEL,IND,Bricks,6904,"44,297",157,False
BEL,CHN,Gloves,611691,"42,953",0,False
BEL,CHN,Thread/Yarn,5403,"40,621",10,False
BEL,IND,Thread/Yarn,5401,"35,608",5,False
BEL,CHN,Aluminum,7601,"22,968",9,False
BEL,CHN,Thread/Yarn,5511,"21,691",1,False
BEL,CHN,Caustic Soda,281511,"20,695",22,False
BEL,CHN,Nails,741510,"18,318",1,False
BEL,NPL,Carpets,5703,"13,284",0,False
BEL,IND,Embellished Textiles,580900,"9,823",0,False
BEL,CHN,Aluminum,7603,"8,421",2,False
BEL,CHN,Bricks,6901,"7,958",0,False
BEL,CHN,Cotton,5201,"6,323",0,False
BEL,IDN,Nickel,260400,"5,797",3,False
BEL,IND,Carpets,5704,"2,162",0,False
BEL,IDN,Nickel,720260,"2,156",1,False
BEL,CHN,Polyvinyl Chloride,390422,"2,014",0,False
BEL,ARG,Garments,61,"1,705",0,False
BEL,ARG,Garments,62,"1,465",0,False
BEL,ETH,Textiles (hand-woven),5209,"1,002",0,False
BEL,IND,Thread/Yarn,5207,885,0,False
BEL,CHN,Tomato Products,210320,662,0,False
BEL,NGA,Cocoa,180200,642,25,False
BEL,CHN,Bricks,681011,516,3,False
BEL,IND,Bricks,681011,301,1,False
BEL,BRA,Charcoal,4402,298,1,False
BEL,IND,Sugarcane,121293,263,0,False
BEL,CHN,Tomato Products,120991,189,0,False
BEL,PAK,Carpets,5705,153,0,False
BEL,IND,Thread/Yarn,5508,99,0,False
BEL,IND,Thread/Yarn,5204,95,0,False
BEL,IND,Rice,100890,45,0,False
BEL,BRA,Timber,4403,26,0,False
BEL,CHN,Polyvinyl Chloride,390421,3,0,False
BGR,CHN,Electronics,85,"1,953,892,193","159,192",False
BGR,CHN,Toys,9503,"133,417,515","23,974",False
BGR,MYS,Electronics,85,"132,940,742","1,254",False
BGR,CHN,Footwear,64,"114,311,174","6,050",False
BGR,BGD,Garments,61,"114,111,209","6,502",False
BGR,CHN,Garments,61,"100,615,496","5,014",False
BGR,CHN,Garments,62,"79,182,269","2,993",False
BGR,BGD,Garments,62,"72,315,122","3,178",False
BGR,CIV,Cocoa,180100,"68,360,658","20,081",False
BGR,CHN,Toys,9504,"42,438,408","1,035",False
BGR,MMR,Garments,62,"21,458,630","1,041",False
BGR,IND,Garments,61,"19,466,240","1,083",False
BGR,VNM,Garments,61,"17,360,349",334,False
BGR,MMR,Rice,1006,"16,632,622","22,615",False
BGR,VNM,Garments,62,"16,063,155",309,False
BGR,MMR,Garments,61,"15,029,168",811,False
BGR,NGA,Cocoa,180100,"13,409,076","3,540",False
BGR,IND,Garments,62,"10,097,281",323,False
BGR,CHN,Artificial Flowers,6702,"6,125,190","1,174",False
BGR,CHN,Christmas Decorations,950510,"5,125,914",777,False
BGR,PER,Gold,7108,"4,208,605",1,False
BGR,CHN,Thread/Yarn,5402,"3,338,116","1,236",False
BGR,CHN,Thread/Yarn,5401,"2,552,271",199,False
BGR,MWI,Tobacco,2401,"2,492,131",407,False
BGR,CHN,Thread/Yarn,5510,"2,482,170",530,False
BGR,CHN,Thread/Yarn,5509,"2,238,709",534,False
BGR,CHN,Aluminum,7606,"2,185,651",658,False
BGR,CHN,Nails,7317,"1,946,407",768,False
BGR,CHN,Fireworks,360410,"1,862,490","2,334",False
BGR,CHN,Toys,950590,"1,616,977",335,False
BGR,CHN,Thread/Yarn,5403,"1,430,632",208,False
BGR,IND,Carpets,5703,"1,416,718",419,False
BGR,CHN,Bricks,690210,"1,383,764","1,429",False
BGR,IND,Bricks,690210,"1,339,889",801,False
BGR,IND,Carpets,5702,"1,316,537",280,False
BGR,MYS,Garments,61,"1,310,623",31,False
BGR,CHN,Thread/Yarn,5508,"1,307,877",262,False
BGR,THA,Garments,61,"1,296,926",21,False
BGR,CHN,Bricks,690220,"1,266,253",510,False
BGR,CHN,Aluminum,7604,"1,181,987",203,False
BGR,IND,Thread/Yarn,5402,"1,158,930",502,False
BGR,IND,Rice,1006,"1,130,006","1,462",False
BGR,IND,Thread/Yarn,5205,"1,058,279",341,False
BGR,CHN,Nails,761610,"1,022,488",55,False
BGR,CHN,Tomato Products,200290,"973,945",715,False
BGR,BLR,Furniture,94,"909,233",434,False
BGR,CHN,Tomato Products,120991,"744,082",33,False
BGR,IND,Thread/Yarn,5401,"700,983",80,False
BGR,CHN,Tomato Products,210390,"676,105",274,False
BGR,MYS,Rubber Gloves,401519,"493,999",87,False
BGR,THA,Garments,62,"425,111",5,False
BGR,IND,Carpets,5705,"424,934",137,False
BGR,IND,Thread/Yarn,5510,"353,050",106,False
BGR,IND,Bricks,690220,"351,876",189,False
BGR,CHN,Gloves,420329,"334,621",24,False
BGR,CHN,Hair Products,670420,"304,222",1,False
BGR,CHN,Thread/Yarn,5205,"260,668",52,False
BGR,IND,Thread/Yarn,5509,"259,745",40,False
BGR,IND,Thread/Yarn,5206,"251,367",80,False
BGR,IND,Tea,210690,"241,870",40,False
BGR,CHN,Christmas Decorations,853922,"133,663",24,False
BGR,MYS,Garments,62,"121,990",3,False
BGR,IND,Carpets,5701,"101,448",8,False
BGR,IND,Tea,210120,"91,472",13,False
BGR,CHN,Bricks,690290,"83,344",56,False
BGR,MUS,Garments,61,"77,986",1,False
BGR,IND,Bricks,690290,"72,982",91,False
BGR,CHN,Thread/Yarn,5206,"72,090",25,False
BGR,MUS,Garments,62,"70,708",1,False
BGR,CHN,Coal,2701,"69,286",195,False
BGR,CHN,Aluminum,7605,"67,973",11,False
BGR,IND,Thread/Yarn,5508,"65,825",9,False
BGR,IND,Embellished Textiles,540792,"59,620",0,False
BGR,IND,Thread/Yarn,5204,"38,882",4,False
BGR,PAK,Carpets,5702,"34,681",7,False
BGR,BRA,Garments,62,"31,764",0,False
BGR,CHN,Gloves,611691,"31,681",1,False
BGR,CHN,Thread/Yarn,5511,"31,341",4,False
BGR,CHN,Tomato Products,210320,"23,454",18,False
BGR,PAK,Carpets,5701,"20,721",0,False
BGR,IND,Rice,100890,"19,838",9,False
BGR,CHN,Hair Products,670300,"18,791",0,False
BGR,IND,Carpets,5704,"15,626",6,False
BGR,CHN,Thread/Yarn,5204,"12,773",2,False
BGR,BRA,Garments,61,"10,564",0,False
BGR,CHN,Bricks,6904,"10,192",17,False
BGR,CHN,Nails,741510,"7,403",0,False
BGR,CHN,Thread/Yarn,5207,"5,239",0,False
BGR,CHN,Metallurgical Grade Silicon,280469,"5,010",2,False
BGR,CHN,Thread/Yarn,5406,"4,518",1,False
BGR,NPL,Carpets,5702,"4,441",0,False
BGR,CHN,Squid,160554,"3,832",0,False
BGR,PAK,Carpets,5703,"2,929",0,False
BGR,CHN,Bricks,681011,"2,444",3,False
BGR,CHN,Polyvinyl Chloride,390410,"1,995",0,False
BGR,PAK,Carpets,5705,"1,812",0,False
BGR,CHN,Caustic Soda,281511,"1,782",2,False
BGR,ARG,Garments,61,"1,776",0,False
BGR,NPL,Carpets,5701,"1,241",0,False
BGR,IND,Thread/Yarn,5511,803,0,False
BGR,CHN,Polyvinyl Chloride,390421,408,0,False
BGR,CHN,Polyvinyl Chloride,390422,306,0,False
BGR,IND,Bricks,681011,28,0,False
BGR,PAK,Cotton,5201,7,0,False
BGR,CHN,Bricks,6901,2,0,False
CHE,BFA,Gold,7108,"6,272,636,344",91,False
CHE,CHN,Electronics,85,"4,275,633,098","134,364",False
CHE,PER,Gold,7108,"2,567,762,154",234,False
CHE,CHN,Garments,62,"1,351,045,910","19,283",False
CHE,CHN,Garments,61,"1,045,328,141","18,693",False
CHE,CHN,Footwear,64,"565,577,646","13,061",False
CHE,BGD,Garments,61,"535,359,158","12,626",False
CHE,BGD,Garments,62,"476,833,314","8,525",False
CHE,VNM,Garments,62,"278,819,313","2,085",False
CHE,MYS,Electronics,85,"259,192,930","1,561",False
CHE,CHN,Toys,9503,"251,109,345","12,254",False
CHE,IND,Garments,62,"171,517,381","1,642",False
CHE,VNM,Garments,61,"166,579,304","1,560",False
CHE,CHN,Toys,9504,"151,955,264","2,869",False
CHE,IND,Garments,61,"113,196,085","2,478",False
CHE,MMR,Garments,62,"71,273,907","1,199",False
CHE,BFA,Cotton,5201,"49,102,124","26,533",False
CHE,CHN,Aluminum,7606,"30,615,419","9,254",False
CHE,MMR,Rubies,710391,"29,150,302",0,False
CHE,MMR,Garments,61,"24,936,541",954,False
CHE,CHN,Christmas Decorations,950510,"23,618,006","1,655",False
CHE,THA,Garments,61,"20,417,846",185,False
CHE,MYS,Rubber Gloves,401519,"18,683,565","2,295",False
CHE,CHN,Toys,950590,"17,810,124",782,False
CHE,CHN,Artificial Flowers,6702,"17,014,508",962,False
CHE,CHN,Aluminum,7604,"16,532,666","3,542",False
CHE,CIV,Cocoa,180100,"14,786,261","3,870",False
CHE,IND,Rice,1006,"11,086,435","6,513",False
CHE,THA,Garments,62,"10,547,486",83,False
CHE,IND,Carpets,5702,"10,512,218",852,False
CHE,MYS,Garments,61,"6,331,035",134,False
CHE,CHN,Fireworks,360410,"5,995,676","1,015",False
CHE,MUS,Garments,62,"4,946,430",46,False
CHE,CHN,Gloves,420329,"4,836,248",143,False
CHE,CHN,Nails,7317,"4,337,874","1,022",False
CHE,CHN,Hair Products,670420,"4,333,822",13,False
CHE,IND,Carpets,5701,"4,095,301",112,False
CHE,IND,Carpets,5703,"3,995,297",352,False
CHE,NPL,Carpets,5701,"3,114,118",20,False
CHE,MUS,Garments,61,"2,567,698",20,False
CHE,CHN,Tomato Products,210390,"2,159,088",512,False
CHE,IND,Carpets,5705,"1,660,834",317,False
CHE,CHN,Thread/Yarn,5401,"1,608,540",24,False
CHE,MWI,Tobacco,2401,"1,514,831",260,False
CHE,CHN,Thread/Yarn,5402,"1,483,987",598,False
CHE,MYS,Garments,62,"1,128,045",15,False
CHE,CHN,Nails,761610,"1,075,934",69,False
CHE,CHN,Thread/Yarn,5511,"1,075,442",39,False
CHE,IND,Tea,210690,"978,280",49,False
CHE,CHN,Thread/Yarn,5204,"779,466",28,False
CHE,MMR,Jade,710399,"762,817",0,False
CHE,CHN,Gloves,611691,"728,676",4,False
CHE,CHN,Metallurgical Grade Silicon,280469,"715,748",224,False
CHE,CHN,Aluminum,7605,"693,538",110,False
CHE,IND,Thread/Yarn,5205,"645,152",77,False
CHE,CHN,Christmas Decorations,853922,"571,523",7,False
CHE,IND,Rice,100890,"560,943",326,False
CHE,CHN,Aluminum,7601,"549,950",156,False
CHE,NGA,Cocoa,180100,"517,439",141,False
CHE,PAK,Carpets,5701,"439,107",14,False
CHE,BRA,Garments,62,"343,904",3,False
CHE,BRA,Garments,61,"321,910",3,False
CHE,CHN,Thread/Yarn,5207,"295,287",12,False
CHE,CHN,Tomato Products,120991,"286,838",1,False
CHE,AGO,Diamonds,7102,"254,426",0,False
CHE,IND,Sandstone,251620,"241,912",443,False
CHE,CHN,Bricks,690210,"240,046",146,False
CHE,CHN,Thread/Yarn,5205,"208,172",11,False
CHE,PAK,Carpets,5702,"199,315",6,False
CHE,CHN,Thread/Yarn,5508,"181,850",16,False
CHE,NPL,Carpets,5702,"163,198",2,False
CHE,IND,Thread/Yarn,5401,"160,685",6,False
CHE,MMR,Rice,1006,"156,715",130,False
CHE,IND,Thread/Yarn,5207,"143,438",8,False
CHE,IND,Thread/Yarn,5511,"109,239",10,False
CHE,BLR,Furniture,94,"106,694",26,False
CHE,ARG,Garments,62,"105,215",1,False
CHE,IDN,Nickel,7502,"103,914",6,False
CHE,CHN,Bricks,690220,"102,938",49,False
CHE,CHN,Squid,160554,"100,813",18,False
CHE,NPL,Carpets,5703,"95,883",1,False
CHE,CHN,Hair Products,670300,"89,798",0,False
CHE,IND,Bricks,681011,"75,543",34,False
CHE,CHN,Thread/Yarn,5406,"71,594",2,False
CHE,CHN,Thread/Yarn,5509,"65,485",18,False
CHE,CHN,Polysilicon,280461,"63,039",1,False
CHE,CHN,Aluminum,7603,"59,568",0,False
CHE,IND,Tea,210120,"54,329",4,False
CHE,IND,Carpets,5704,"50,554",1,False
CHE,ETH,Textiles (hand-woven),5209,"43,785",4,False
CHE,COD,Gold,7108,"38,199",7,False
CHE,ARG,Garments,61,"27,702",0,False
CHE,RUS,Timber,4403,"25,729",5,False
CHE,IND,Embellished Textiles,540792,"25,412",0,False
CHE,CHN,Caustic Soda,281512,"24,054",48,False
CHE,IND,Thread/Yarn,5402,"23,865",6,False
CHE,CHN,Bricks,6904,"17,146",13,False
CHE,CHN,Bricks,6901,"15,835",8,False
CHE,PAK,Carpets,5703,"14,688",0,False
CHE,PAK,Carpets,5705,"14,297",1,False
CHE,CHN,Nails,741510,"12,895",0,False
CHE,CHN,Coal,2701,"11,263",17,False
CHE,CHN,Cotton,5201,"10,197",0,False
CHE,CHN,Bricks,690290,"9,742",2,False
CHE,CHN,Bricks,681011,"8,637",5,False
CHE,CHN,Tomato Products,200290,"7,589",1,False
CHE,IND,Thread/Yarn,5403,"7,291",0,False
CHE,IND,Thread/Yarn,5508,"7,065",0,False
CHE,CHN,Tomato Products,210320,"6,827",6,False
CHE,CHN,Polyvinyl Chloride,390422,"6,503",2,False
CHE,CHN,Thread/Yarn,5403,"5,161",0,False
CHE,CHN,Polyvinyl Chloride,390410,"5,146",2,False
CHE,IND,Thread/Yarn,5509,"4,315",2,False
CHE,CHN,Caustic Soda,281511,"3,781",0,False
CHE,CHN,Thread/Yarn,5206,"3,531",0,False
CHE,AFG,Bricks,690220,"3,299",0,False
CHE,IND,Sugarcane,121293,"2,761",1,False
CHE,CHN,Thread/Yarn,5510,"2,607",2,False
CHE,IND,Embellished Textiles,580900,"1,705",0,False
CHE,ETH,Textiles (hand-woven),5208,"1,199",0,False
CHE,IND,Bricks,690220,"1,111",1,False
CHE,NPL,Carpets,5705,"1,057",0,False
CHE,BRA,Charcoal,4402,963,2,False
CHE,NPL,Carpets,5704,870,0,False
CHE,IND,Thread/Yarn,5204,817,0,False
CHE,IND,Thread/Yarn,5206,769,0,False
CHE,IND,Embellished Textiles,540791,564,0,False
CHE,IND,Thread/Yarn,5406,459,0,False
CHE,PAK,Sugarcane,121293,102,0,False
CHE,PAK,Cotton,5201,77,0,False
CHE,DOM,Sugarcane,121293,50,0,False
CHE,IND,Thread/Yarn,5510,49,0,False
CHE,CHN,Polyvinyl Chloride,390421,42,0,False
CHE,CIV,Cocoa,180200,24,0,False
CHE,IND,Bricks,6901,11,0,False
CHE,PAK,Carpets,5704,5,0,False
CYP,CHN,Electronics,85,"108,132,483","12,758",False
CYP,CHN,Garments,62,"7,149,532",361,False
CYP,CHN,Garments,61,"6,906,471",310,False
CYP,CHN,Toys,9503,"5,580,350",792,False
CYP,CHN,Footwear,64,"5,164,681",475,False
CYP,BGD,Garments,61,"4,712,489",323,False
CYP,IND,Rice,1006,"2,870,292","1,862",False
CYP,BGD,Garments,62,"2,127,454",113,False
CYP,CHN,Aluminum,7604,"2,071,196",539,False
CYP,IND,Garments,61,"1,806,848",69,False
CYP,CHN,Christmas Decorations,950510,"1,404,507",198,False
CYP,CHN,Toys,9504,"1,347,556",130,False
CYP,CHN,Aluminum,7606,"1,148,728",321,False
CYP,IND,Garments,62,"829,940",37,False
CYP,CHN,Artificial Flowers,6702,"640,453",87,False
CYP,VNM,Garments,62,"556,266",10,False
CYP,BLR,Furniture,94,"548,455",174,False
CYP,CHN,Hair Products,670420,"511,689",1,False
CYP,CHN,Fireworks,360410,"508,061",79,False
CYP,CHN,Tomato Products,210390,"495,738",235,False
CYP,CHN,Nails,7317,"400,338",406,False
CYP,MYS,Electronics,85,"380,028",5,False
CYP,CHN,Toys,950590,"340,090",68,False
CYP,VNM,Garments,61,"321,799",4,False
CYP,CHN,Tomato Products,200290,"305,796",213,False
CYP,IND,Tea,210690,"277,659",7,False
CYP,MYS,Rubber Gloves,401519,"229,841",62,False
CYP,THA,Garments,61,"179,627",8,False
CYP,IND,Carpets,5703,"170,028",45,False
CYP,CHN,Caustic Soda,281511,"152,104",221,False
