importer_iso3,exporter_iso3,good,hs_code,value_usd,weight_metric_tons
EU,CHN,Hair Products,670420,"141,296,590",485
EU,IND,Carpets,5703,"137,774,802","26,409"
EU,MYS,Garments,61,"134,211,142","6,875"
EU,CHN,Gloves,420329,"125,462,414","5,089"
EU,BFA,Cotton,5201,"123,021,901","65,742"
EU,CHN,Coal,2701,"119,182,347","356,431"
EU,IDN,Nickel,720260,"118,070,809","112,787"
EU,IND,Thread/Yarn,5402,"112,947,074","50,648"
EU,CHN,Tomato Products,210390,"97,308,691","30,431"
EU,IND,Carpets,5705,"86,720,515","18,543"
EU,CHN,Bricks,690210,"66,181,939","56,515"
EU,CHN,Tomato Products,120991,"62,808,595","1,304"
EU,CHN,Bricks,690220,"61,901,392","38,713"
EU,BRA,Timber,4403,"54,250,263","576,556"
EU,CHN,Thread/Yarn,5205,"53,490,759","6,267"
EU,CHN,Thread/Yarn,5401,"52,730,338","4,715"
EU,IND,Tea,210690,"50,433,115","7,682"
EU,IND,Thread/Yarn,5509,"48,328,065","16,074"
EU,MUS,Garments,61,"48,155,971","1,078"
EU,CHN,Nails,761610,"48,085,937","2,971"
EU,MUS,Garments,62,"47,854,104","1,274"
EU,IND,Carpets,5701,"47,460,106","2,724"
EU,IDN,Nickel,7502,"42,591,420","2,119"
EU,IND,Bricks,690220,"40,961,051","10,434"
EU,MMR,Rubies,710391,"39,612,872",0
EU,CHN,Thread/Yarn,5509,"38,529,776","10,324"
EU,CHN,Aluminum,7601,"33,992,519","13,516"
EU,CHN,Thread/Yarn,5511,"32,115,017","3,654"
EU,SLE,Diamonds,7102,"28,127,387",0
EU,CHN,Thread/Yarn,5403,"26,285,980","4,859"
EU,CHN,Thread/Yarn,5508,"25,950,938","5,218"
EU,MYS,Garments,62,"22,110,596",546
EU,CHN,Bricks,690290,"19,429,874","7,766"
EU,CHN,Thread/Yarn,5406,"19,415,104","2,178"
EU,IND,Thread/Yarn,5510,"19,412,727","5,311"
EU,CHN,Aluminum,7605,"19,186,146","4,403"
EU,NPL,Carpets,5701,"17,901,058",284
EU,IND,Sandstone,251620,"17,816,732","108,100"
EU,CHN,Thread/Yarn,5510,"17,594,017","4,510"
EU,CHN,Gloves,611691,"16,527,084",240
EU,CHN,Hair Products,670300,"16,143,398",71
EU,CHN,Thread/Yarn,5207,"15,347,547","1,832"
EU,IND,Tea,210120,"14,521,639","2,629"
EU,CHN,Christmas Decorations,853922,"14,233,660","1,009"
EU,IND,Thread/Yarn,5403,"12,359,938","1,881"
EU,PAK,Carpets,5702,"11,834,991","1,379"
EU,PAK,Cotton,5201,"11,596,093","4,723"
EU,BLR,Lumber,4703,"11,458,407","18,087"
EU,PAK,Carpets,5701,"11,315,805",413
EU,CHN,Caustic Soda,281512,"10,561,422","41,435"
EU,IND,Thread/Yarn,5206,"10,456,319","3,402"
EU,CHN,Aluminum,7603,"9,837,312","2,021"
EU,BRA,Garments,61,"9,492,100",184
EU,BRA,Garments,62,"9,468,346",128
EU,IND,Thread/Yarn,5207,"9,213,894",809
EU,CHN,Squid,160554,"8,149,637",857
EU,CHN,Polysilicon,280461,"8,096,880","1,393"
EU,CHN,Thread/Yarn,5206,"7,804,226","4,254"
EU,IND,Embellished Textiles,540792,"7,075,990",639
EU,KAZ,Cotton,5201,"5,311,179","3,742"
EU,IND,Rice,100890,"5,084,686","2,810"
EU,CHN,Thread/Yarn,5204,"4,478,723",462
EU,IND,Bricks,690210,"4,465,987","3,455"
EU,IND,Thread/Yarn,5511,"4,426,845",591
EU,CHN,Polyvinyl Chloride,390410,"4,183,809","5,000"
EU,IND,Bricks,690290,"4,135,220","2,876"
EU,CHN,Caustic Soda,281511,"3,908,048","5,651"
EU,IND,Thread/Yarn,5401,"3,904,377",415
EU,CHN,Tomato Products,210320,"3,782,621","2,426"
EU,IND,Thread/Yarn,5204,"3,243,557",291
EU,CHN,Bricks,6904,"3,180,627","3,714"
EU,CHN,Polyvinyl Chloride,390422,"2,413,162",985
EU,CHN,Bricks,681011,"2,391,247","4,069"
EU,PAK,Carpets,5705,"2,335,820",660
EU,BEN,Cotton,5201,"2,143,277","1,087"
EU,CHN,Nails,741510,"1,587,359",295
EU,ARG,Garments,62,"1,529,674",38
EU,MMR,Jade,710399,"1,205,079",3
EU,NPL,Carpets,5702,"950,285",16
EU,IND,Carpets,5704,"911,550",262
EU,ARG,Garments,61,"889,473",22
EU,TKM,Cotton,5201,"833,863",843
EU,CHN,Bricks,6901,"786,640",397
EU,ETH,Textiles (hand-woven),5209,"682,579",195
EU,IDN,Nickel,260400,"668,820",164
EU,IND,Thread/Yarn,5406,"620,171",194
EU,PAK,Carpets,5703,"561,157",77
EU,CHN,Cotton,5201,"534,481",63
EU,NPL,Carpets,5703,"529,770",12
EU,COD,Gold,7108,"491,019",278
EU,CHN,Polyvinyl Chloride,390421,"481,444",210
EU,IND,Thread/Yarn,5508,"462,585",63
EU,BOL,Corn,100590,"429,604",246
EU,IND,Bricks,6901,"395,974",867
EU,IDN,Palm Fruit,120710,"242,881",1
EU,NPL,Carpets,5704,"239,831",14
EU,IND,Bricks,681011,"233,593",212
EU,BLR,Lumber,4412,"216,566",171
EU,NGA,Cocoa,180200,"207,590",282
EU,BOL,Peanuts,1202,"135,137",76
EU,NPL,Carpets,5705,"130,618",6
EU,IND,Embellished Textiles,580900,"128,081",4
EU,MMR,Teak,440729,"116,588",20
EU,MMR,Bricks,690220,"87,455",81
EU,IND,Bricks,6904,"81,156",236
EU,PER,Timber,4403,"77,688",66
EU,IND,Embellished Textiles,540791,"75,883",20
EU,TJK,Cotton,5201,"56,169",21
EU,BRA,Charcoal,4402,"48,602",59
EU,PAK,Bricks,690220,"36,909",74
EU,MMR,Rubber,4001,"35,537",21
EU,BLR,Lumber,4707,"31,880",120
EU,BRA,Sugarcane,121293,"30,999",5
EU,PAK,Bricks,690210,"28,574",144
EU,IND,Sugarcane,121293,"27,669",18
EU,RUS,Timber,4403,"25,729",5
EU,PAK,Sugarcane,121293,"21,767",7
EU,RUS,Bricks,6901,"16,756",19
EU,CHN,Tomato Products,200950,"15,380",19
EU,CHN,Polyvinyl Chloride,391530,"15,050",5
EU,BLR,Lumber,4407,"8,558",16
EU,IDN,Nickel,750300,"7,614",1
EU,DOM,Sugarcane,121293,"6,581",2
EU,BLR,Lumber,4409,"4,212",6
EU,MLI,Rice,100890,"4,105",4
EU,MMR,"Beans (green, soy, yellow)",1201,"3,955",4
EU,AFG,Bricks,690220,"3,299",0
EU,MLI,Rice,1006,"2,354",2
EU,BLR,Lumber,470500,"2,304",20
EU,MYS,Palm Fruit,120710,"1,791",0
EU,AFG,Bricks,6901,"1,763",1
EU,BLR,Lumber,4411,"1,636",1
EU,ETH,Textiles (hand-woven),5208,"1,317",0
EU,IND,Cottonseed (hybrid),120729,"1,251",0
EU,PAK,Bricks,6904,"1,060",11
EU,PAK,Bricks,690290,963,1
EU,BLR,Lumber,4410,680,2
EU,IND,Cottonseed (hybrid),120721,439,0
EU,PER,Gold,711590,259,0
EU,PAK,Carpets,5704,216,0
EU,PAK,Bricks,681011,134,1
EU,PAK,Bricks,6901,113,0
EU,PAK,Wheat,1001,102,0
EU,MMR,Sugarcane,121293,92,0
EU,RUS,Bricks,6904,16,0
EU,MMR,Bamboo,482361,1,0
